"calendar_year","location","race","experiencing_homelessness"
2017,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","White","166"
2017,"Napa County CoC","American Indian, Alaska Native, or Indigenous","111"
2017,"Napa County CoC","Black, African American, or African","59"
2017,"Napa County CoC","Multiple Races","27"
2017,"Napa County CoC","Native Hawaiian or Pacific Islander","17"
2017,"Napa County CoC","White","721"
2017,"Solano County CoC","American Indian, Alaska Native, or Indigenous","41"
2017,"Solano County CoC","Asian or Asian American","17"
2017,"Solano County CoC","Black, African American, or African","407"
2017,"Solano County CoC","Multiple Races","83"
2017,"Solano County CoC","Native Hawaiian or Pacific Islander","31"
2017,"Solano County CoC","Unknown","34"
2017,"Solano County CoC","White","394"
2017,"Butte County CoC","American Indian, Alaska Native, or Indigenous","57"
2017,"Butte County CoC","Asian or Asian American","11"
2017,"Butte County CoC","Black, African American, or African","78"
2017,"Butte County CoC","Multiple Races","110"
2017,"Butte County CoC","White","1109"
2017,"Merced County CoC","American Indian, Alaska Native, or Indigenous","14"
2017,"Merced County CoC","Black, African American, or African","129"
2017,"Merced County CoC","Multiple Races","23"
2017,"Merced County CoC","White","427"
2017,"Yolo County CoC","American Indian, Alaska Native, or Indigenous","27"
2017,"Yolo County CoC","Black, African American, or African","127"
2017,"Yolo County CoC","Multiple Races","20"
2017,"Yolo County CoC","White","331"
2017,"Humboldt County CoC","American Indian, Alaska Native, or Indigenous","73"
2017,"Humboldt County CoC","Black, African American, or African","40"
2017,"Humboldt County CoC","Multiple Races","108"
2017,"Humboldt County CoC","Unknown","44"
2017,"Humboldt County CoC","White","653"
2017,"Colusa, Glenn, Trinity Counties CoC","American Indian, Alaska Native, or Indigenous","19"
2017,"Colusa, Glenn, Trinity Counties CoC","White","154"
2017,"El Dorado County CoC","White","109"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","American Indian, Alaska Native, or Indigenous","17"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Multiple Races","32"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","White","318"
2017,"Tehama County CoC","American Indian, Alaska Native, or Indigenous","19"
2017,"Tehama County CoC","Multiple Races","23"
2017,"Tehama County CoC","White","336"
2017,"Lake County CoC","American Indian, Alaska Native, or Indigenous","11"
2017,"Lake County CoC","White","32"
2017,"Alpine, Inyo, Mono Counties CoC","American Indian, Alaska Native, or Indigenous","28"
2017,"Alpine, Inyo, Mono Counties CoC","White","127"
2017,"Nevada County CoC","Multiple Races","42"
2017,"Nevada County CoC","White","399"
2017,"Los Angeles County CoC","American Indian, Alaska Native, or Indigenous","846"
2017,"Los Angeles County CoC","Asian or Asian American","654"
2017,"Los Angeles County CoC","Black, African American, or African","24910"
2017,"Los Angeles County CoC","Multiple Races","1500"
2017,"Los Angeles County CoC","Native Hawaiian or Pacific Islander","453"
2017,"Los Angeles County CoC","Unknown","3628"
2017,"Los Angeles County CoC","White","24598"
2017,"San Diego County CoC","American Indian, Alaska Native, or Indigenous","196"
2017,"San Diego County CoC","Asian or Asian American","179"
2017,"San Diego County CoC","Black, African American, or African","3356"
2017,"San Diego County CoC","Multiple Races","728"
2017,"San Diego County CoC","Native Hawaiian or Pacific Islander","157"
2017,"San Diego County CoC","Unknown","103"
2017,"San Diego County CoC","White","6865"
2017,"Orange County CoC","American Indian, Alaska Native, or Indigenous","559"
2017,"Orange County CoC","Asian or Asian American","272"
2017,"Orange County CoC","Black, African American, or African","1386"
2017,"Orange County CoC","Multiple Races","446"
2017,"Orange County CoC","Native Hawaiian or Pacific Islander","145"
2017,"Orange County CoC","Unknown","409"
2017,"Orange County CoC","White","7256"
2017,"Santa Barbara County CoC","American Indian, Alaska Native, or Indigenous","80"
2017,"Santa Barbara County CoC","Asian or Asian American","19"
2017,"Santa Barbara County CoC","Black, African American, or African","260"
2017,"Santa Barbara County CoC","Multiple Races","141"
2017,"Santa Barbara County CoC","Native Hawaiian or Pacific Islander","17"
2017,"Santa Barbara County CoC","Unknown","48"
2017,"Santa Barbara County CoC","White","2269"
2017,"Kern County CoC","American Indian, Alaska Native, or Indigenous","83"
2017,"Kern County CoC","Asian or Asian American","16"
2017,"Kern County CoC","Black, African American, or African","1332"
2017,"Kern County CoC","Multiple Races","125"
2017,"Kern County CoC","Native Hawaiian or Pacific Islander","46"
2017,"Kern County CoC","White","3015"
2017,"Long Beach CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","35"
2017,"Long Beach CoC (Los Angeles County)","Asian or Asian American","39"
2017,"Long Beach CoC (Los Angeles County)","Black, African American, or African","1236"
2017,"Long Beach CoC (Los Angeles County)","Multiple Races","130"
2017,"Long Beach CoC (Los Angeles County)","Native Hawaiian or Pacific Islander","29"
2017,"Long Beach CoC (Los Angeles County)","White","1158"
2017,"Pasadena CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","34"
2017,"Pasadena CoC (Los Angeles County)","Asian or Asian American","17"
2017,"Pasadena CoC (Los Angeles County)","Black, African American, or African","451"
2017,"Pasadena CoC (Los Angeles County)","Multiple Races","56"
2017,"Pasadena CoC (Los Angeles County)","Native Hawaiian or Pacific Islander","21"
2017,"Pasadena CoC (Los Angeles County)","Unknown","184"
2017,"Pasadena CoC (Los Angeles County)","White","629"
2017,"Riverside County CoC","American Indian, Alaska Native, or Indigenous","137"
2017,"Riverside County CoC","Asian or Asian American","68"
2017,"Riverside County CoC","Black, African American, or African","1541"
2017,"Riverside County CoC","Multiple Races","207"
2017,"Riverside County CoC","Native Hawaiian or Pacific Islander","84"
2017,"Riverside County CoC","Unknown","75"
2017,"Riverside County CoC","White","4535"
2017,"San Bernardino County CoC","American Indian, Alaska Native, or Indigenous","139"
2017,"San Bernardino County CoC","Asian or Asian American","47"
2017,"San Bernardino County CoC","Black, African American, or African","3778"
2017,"San Bernardino County CoC","Multiple Races","269"
2017,"San Bernardino County CoC","Native Hawaiian or Pacific Islander","73"
2017,"San Bernardino County CoC","Unknown","16"
2017,"San Bernardino County CoC","White","4066"
2017,"Ventura County CoC","American Indian, Alaska Native, or Indigenous","29"
2017,"Ventura County CoC","Asian or Asian American","14"
2017,"Ventura County CoC","Black, African American, or African","140"
2017,"Ventura County CoC","Multiple Races","92"
2017,"Ventura County CoC","Native Hawaiian or Pacific Islander","20"
2017,"Ventura County CoC","White","1633"
2017,"Glendale CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","12"
2017,"Glendale CoC (Los Angeles County)","Black, African American, or African","96"
2017,"Glendale CoC (Los Angeles County)","Multiple Races","13"
2017,"Glendale CoC (Los Angeles County)","White","229"
2017,"Imperial County CoC","Black, African American, or African","11"
2017,"Imperial County CoC","White","479"
2017,"San Luis Obispo County CoC","American Indian, Alaska Native, or Indigenous","55"
2017,"San Luis Obispo County CoC","Black, African American, or African","89"
2017,"San Luis Obispo County CoC","Multiple Races","89"
2017,"San Luis Obispo County CoC","Native Hawaiian or Pacific Islander","11"
2017,"San Luis Obispo County CoC","Unknown","138"
2017,"San Luis Obispo County CoC","White","1323"
2018,"California","American Indian, Alaska Native, or Indigenous","5995"
2018,"California","Asian or Asian American","3429"
2018,"California","Black, African American, or African","67676"
2018,"California","Multiple Races","9769"
2018,"California","Native Hawaiian or Pacific Islander","2699"
2018,"California","Unknown","8190"
2018,"California","White","116448"
2018,"Santa Clara County CoC","American Indian, Alaska Native, or Indigenous","584"
2018,"Santa Clara County CoC","Asian or Asian American","511"
2018,"Santa Clara County CoC","Black, African American, or African","1702"
2018,"Santa Clara County CoC","Multiple Races","794"
2018,"Santa Clara County CoC","Native Hawaiian or Pacific Islander","232"
2018,"Santa Clara County CoC","Unknown","305"
2018,"Santa Clara County CoC","White","6526"
2018,"San Francisco CoC","American Indian, Alaska Native, or Indigenous","323"
2018,"San Francisco CoC","Asian or Asian American","254"
2018,"San Francisco CoC","Black, African American, or African","2185"
2018,"San Francisco CoC","Multiple Races","352"
2018,"San Francisco CoC","Native Hawaiian or Pacific Islander","152"
2018,"San Francisco CoC","Unknown","539"
2018,"San Francisco CoC","White","1836"
2018,"Alameda County CoC","American Indian, Alaska Native, or Indigenous","253"
2018,"Alameda County CoC","Asian or Asian American","158"
2018,"Alameda County CoC","Black, African American, or African","3655"
2018,"Alameda County CoC","Multiple Races","529"
2018,"Alameda County CoC","Native Hawaiian or Pacific Islander","123"
2018,"Alameda County CoC","Unknown","37"
2018,"Alameda County CoC","White","1735"
2018,"Sacramento County CoC","American Indian, Alaska Native, or Indigenous","236"
2018,"Sacramento County CoC","Asian or Asian American","109"
2018,"Sacramento County CoC","Black, African American, or African","4916"
2018,"Sacramento County CoC","Multiple Races","875"
2018,"Sacramento County CoC","Native Hawaiian or Pacific Islander","137"
2018,"Sacramento County CoC","Unknown","46"
2018,"Sacramento County CoC","White","4564"
2018,"Sonoma County CoC","American Indian, Alaska Native, or Indigenous","303"
2018,"Sonoma County CoC","Asian or Asian American","36"
2018,"Sonoma County CoC","Black, African American, or African","231"
2018,"Sonoma County CoC","Multiple Races","345"
2018,"Sonoma County CoC","Native Hawaiian or Pacific Islander","48"
2018,"Sonoma County CoC","Unknown","24"
2018,"Sonoma County CoC","White","2221"
2018,"Contra Costa County CoC","American Indian, Alaska Native, or Indigenous","389"
2018,"Contra Costa County CoC","Asian or Asian American","76"
2018,"Contra Costa County CoC","Black, African American, or African","2247"
2018,"Contra Costa County CoC","Multiple Races","379"
2018,"Contra Costa County CoC","Native Hawaiian or Pacific Islander","133"
2018,"Contra Costa County CoC","Unknown","146"
2018,"Contra Costa County CoC","White","2434"
2018,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous","67"
2018,"Monterey, San Benito Counties CoC","Asian or Asian American","42"
2018,"Monterey, San Benito Counties CoC","Black, African American, or African","232"
2018,"Monterey, San Benito Counties CoC","Multiple Races","121"
2018,"Monterey, San Benito Counties CoC","Native Hawaiian or Pacific Islander","53"
2018,"Monterey, San Benito Counties CoC","White","1993"
2018,"Marin County CoC","American Indian, Alaska Native, or Indigenous","21"
2018,"Marin County CoC","Asian or Asian American","18"
2018,"Marin County CoC","Black, African American, or African","303"
2018,"Marin County CoC","Multiple Races","49"
2018,"Marin County CoC","Native Hawaiian or Pacific Islander","11"
2018,"Marin County CoC","Unknown","43"
2018,"Marin County CoC","White","881"
2018,"Santa Cruz County CoC","American Indian, Alaska Native, or Indigenous","132"
2018,"Santa Cruz County CoC","Asian or Asian American","18"
2018,"Santa Cruz County CoC","Black, African American, or African","126"
2018,"Santa Cruz County CoC","Multiple Races","115"
2018,"Santa Cruz County CoC","Native Hawaiian or Pacific Islander","18"
2018,"Santa Cruz County CoC","Unknown","92"
2018,"Santa Cruz County CoC","White","1388"
2018,"Mendocino County CoC","American Indian, Alaska Native, or Indigenous","45"
2018,"Mendocino County CoC","Black, African American, or African","21"
2018,"Mendocino County CoC","Multiple Races","30"
2018,"Mendocino County CoC","Unknown","27"
2018,"Mendocino County CoC","White","458"
2018,"Stanislaus County CoC","American Indian, Alaska Native, or Indigenous","175"
2018,"Stanislaus County CoC","Asian or Asian American","85"
2018,"Stanislaus County CoC","Black, African American, or African","743"
2018,"Stanislaus County CoC","Multiple Races","444"
2018,"Stanislaus County CoC","Native Hawaiian or Pacific Islander","69"
2018,"Stanislaus County CoC","White","4623"
2018,"San Joaquin County CoC","American Indian, Alaska Native, or Indigenous","149"
2018,"San Joaquin County CoC","Asian or Asian American","233"
2018,"San Joaquin County CoC","Black, African American, or African","3813"
2018,"San Joaquin County CoC","Multiple Races","738"
2018,"San Joaquin County CoC","Native Hawaiian or Pacific Islander","133"
2018,"San Joaquin County CoC","Unknown","125"
2018,"San Joaquin County CoC","White","5651"
2018,"San Mateo County CoC","American Indian, Alaska Native, or Indigenous","229"
2018,"San Mateo County CoC","Asian or Asian American","233"
2018,"San Mateo County CoC","Black, African American, or African","759"
2018,"San Mateo County CoC","Multiple Races","200"
2018,"San Mateo County CoC","Native Hawaiian or Pacific Islander","369"
2018,"San Mateo County CoC","Unknown","37"
2018,"San Mateo County CoC","White","2443"
2018,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous","113"
2018,"Kings, Tulare Counties CoC","Asian or Asian American","30"
2018,"Kings, Tulare Counties CoC","Black, African American, or African","391"
2018,"Kings, Tulare Counties CoC","Multiple Races","66"
2018,"Kings, Tulare Counties CoC","Native Hawaiian or Pacific Islander","18"
2018,"Kings, Tulare Counties CoC","Unknown","89"
2018,"Kings, Tulare Counties CoC","White","2262"
2018,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous","107"
2018,"Fresno, Madera Counties CoC","Asian or Asian American","51"
2018,"Fresno, Madera Counties CoC","Black, African American, or African","569"
2018,"Fresno, Madera Counties CoC","Multiple Races","98"
2018,"Fresno, Madera Counties CoC","Native Hawaiian or Pacific Islander","14"
2018,"Fresno, Madera Counties CoC","Unknown","34"
2018,"Fresno, Madera Counties CoC","White","1548"
2018,"Placer County CoC","American Indian, Alaska Native, or Indigenous","42"
2018,"Placer County CoC","Asian or Asian American","14"
2018,"Placer County CoC","Black, African American, or African","111"
2018,"Placer County CoC","Multiple Races","183"
2018,"Placer County CoC","Native Hawaiian or Pacific Islander","11"
2018,"Placer County CoC","Unknown","17"
2018,"Placer County CoC","White","1102"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous","12"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Black, African American, or African","19"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Multiple Races","45"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","91"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","White","446"
2018,"Napa County CoC","American Indian, Alaska Native, or Indigenous","80"
2018,"Napa County CoC","Asian or Asian American","11"
2018,"Napa County CoC","Black, African American, or African","34"
2018,"Napa County CoC","Multiple Races","40"
2018,"Napa County CoC","Native Hawaiian or Pacific Islander","17"
2018,"Napa County CoC","White","748"
2018,"Solano County CoC","American Indian, Alaska Native, or Indigenous","41"
2018,"Solano County CoC","Black, African American, or African","376"
2018,"Solano County CoC","Multiple Races","80"
2018,"Solano County CoC","Native Hawaiian or Pacific Islander","17"
2018,"Solano County CoC","Unknown","37"
2018,"Solano County CoC","White","346"
2018,"Butte County CoC","American Indian, Alaska Native, or Indigenous","52"
2018,"Butte County CoC","Black, African American, or African","125"
2018,"Butte County CoC","Multiple Races","97"
2018,"Butte County CoC","White","1189"
2018,"Merced County CoC","American Indian, Alaska Native, or Indigenous","29"
2018,"Merced County CoC","Black, African American, or African","189"
2018,"Merced County CoC","Multiple Races","28"
2018,"Merced County CoC","White","651"
2018,"Yolo County CoC","American Indian, Alaska Native, or Indigenous","57"
2018,"Yolo County CoC","Black, African American, or African","202"
2018,"Yolo County CoC","Multiple Races","67"
2018,"Yolo County CoC","Native Hawaiian or Pacific Islander","11"
2018,"Yolo County CoC","Unknown","30"
2018,"Yolo County CoC","White","570"
2018,"Humboldt County CoC","American Indian, Alaska Native, or Indigenous","85"
2018,"Humboldt County CoC","Black, African American, or African","59"
2018,"Humboldt County CoC","Multiple Races","115"
2018,"Humboldt County CoC","Unknown","79"
2018,"Humboldt County CoC","White","696"
2018,"Colusa, Glenn, Trinity Counties CoC","American Indian, Alaska Native, or Indigenous","30"
2018,"Colusa, Glenn, Trinity Counties CoC","Black, African American, or African","13"
2018,"Colusa, Glenn, Trinity Counties CoC","Unknown","11"
2018,"Colusa, Glenn, Trinity Counties CoC","White","284"
2018,"El Dorado County CoC","Black, African American, or African","15"
2018,"El Dorado County CoC","Multiple Races","14"
2018,"El Dorado County CoC","Unknown","23"
2018,"El Dorado County CoC","White","188"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","American Indian, Alaska Native, or Indigenous","12"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Black, African American, or African","26"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Multiple Races","27"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","White","347"
2018,"Tehama County CoC","American Indian, Alaska Native, or Indigenous","25"
2018,"Tehama County CoC","Multiple Races","26"
2018,"Tehama County CoC","White","348"
2018,"Lake County CoC","Multiple Races","14"
2018,"Lake County CoC","White","71"
2018,"Alpine, Inyo, Mono Counties CoC","American Indian, Alaska Native, or Indigenous","37"
2018,"Alpine, Inyo, Mono Counties CoC","White","158"
2018,"Nevada County CoC","Multiple Races","54"
2018,"Nevada County CoC","White","472"
2018,"Los Angeles County CoC","American Indian, Alaska Native, or Indigenous","1012"
2018,"Los Angeles County CoC","Asian or Asian American","846"
2018,"Los Angeles County CoC","Black, African American, or African","32208"
2018,"Los Angeles County CoC","Multiple Races","1787"
2018,"Los Angeles County CoC","Native Hawaiian or Pacific Islander","540"
2018,"Los Angeles County CoC","Unknown","5248"
2018,"Los Angeles County CoC","White","34093"
2018,"San Diego County CoC","American Indian, Alaska Native, or Indigenous","281"
2018,"San Diego County CoC","Asian or Asian American","222"
2018,"San Diego County CoC","Black, African American, or African","4273"
2018,"San Diego County CoC","Multiple Races","859"
2018,"San Diego County CoC","Native Hawaiian or Pacific Islander","176"
2018,"San Diego County CoC","Unknown","242"
2018,"San Diego County CoC","White","9153"
2018,"Orange County CoC","American Indian, Alaska Native, or Indigenous","617"
2018,"Orange County CoC","Asian or Asian American","287"
2018,"Orange County CoC","Black, African American, or African","1595"
2018,"Orange County CoC","Multiple Races","465"
2018,"Orange County CoC","Native Hawaiian or Pacific Islander","178"
2018,"Orange County CoC","Unknown","466"
2018,"Orange County CoC","White","8410"
2018,"Santa Barbara County CoC","American Indian, Alaska Native, or Indigenous","100"
2018,"Santa Barbara County CoC","Asian or Asian American","13"
2018,"Santa Barbara County CoC","Black, African American, or African","208"
2018,"Santa Barbara County CoC","Multiple Races","115"
2018,"Santa Barbara County CoC","Native Hawaiian or Pacific Islander","13"
2018,"Santa Barbara County CoC","Unknown","144"
2018,"Santa Barbara County CoC","White","2110"
2018,"Kern County CoC","American Indian, Alaska Native, or Indigenous","86"
2018,"Kern County CoC","Asian or Asian American","14"
2018,"Kern County CoC","Black, African American, or African","1377"
2018,"Kern County CoC","Multiple Races","101"
2018,"Kern County CoC","Native Hawaiian or Pacific Islander","34"
2018,"Kern County CoC","White","3212"
2018,"Long Beach CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","41"
2018,"Long Beach CoC (Los Angeles County)","Asian or Asian American","61"
2018,"Long Beach CoC (Los Angeles County)","Black, African American, or African","1270"
2018,"Long Beach CoC (Los Angeles County)","Multiple Races","117"
2018,"Long Beach CoC (Los Angeles County)","Native Hawaiian or Pacific Islander","36"
2018,"Long Beach CoC (Los Angeles County)","White","1175"
2018,"Pasadena CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","28"
2018,"Pasadena CoC (Los Angeles County)","Asian or Asian American","31"
2018,"Pasadena CoC (Los Angeles County)","Black, African American, or African","451"
2018,"Pasadena CoC (Los Angeles County)","Multiple Races","52"
2018,"Pasadena CoC (Los Angeles County)","Native Hawaiian or Pacific Islander","29"
2018,"Pasadena CoC (Los Angeles County)","Unknown","66"
2018,"Pasadena CoC (Los Angeles County)","White","716"
2018,"Riverside County CoC","American Indian, Alaska Native, or Indigenous","169"
2018,"Riverside County CoC","Asian or Asian American","66"
2018,"Riverside County CoC","Black, African American, or African","1685"
2018,"Riverside County CoC","Multiple Races","194"
2018,"Riverside County CoC","Native Hawaiian or Pacific Islander","64"
2018,"Riverside County CoC","Unknown","55"
2018,"Riverside County CoC","White","4927"
2018,"San Bernardino County CoC","American Indian, Alaska Native, or Indigenous","110"
2018,"San Bernardino County CoC","Asian or Asian American","62"
2018,"San Bernardino County CoC","Black, African American, or African","3291"
2018,"San Bernardino County CoC","Multiple Races","265"
2018,"San Bernardino County CoC","Native Hawaiian or Pacific Islander","76"
2018,"San Bernardino County CoC","White","3816"
2018,"Ventura County CoC","American Indian, Alaska Native, or Indigenous","24"
2018,"Ventura County CoC","Asian or Asian American","17"
2018,"Ventura County CoC","Black, African American, or African","134"
2018,"Ventura County CoC","Multiple Races","112"
2018,"Ventura County CoC","Native Hawaiian or Pacific Islander","14"
2018,"Ventura County CoC","Unknown","15"
2018,"Ventura County CoC","White","1427"
2018,"Glendale CoC (Los Angeles County)","American Indian, Alaska Native, or Indigenous","11"
2018,"Glendale CoC (Los Angeles County)","Black, African American, or African","100"
2018,"Glendale CoC (Los Angeles County)","Multiple Races","23"
2018,"Glendale CoC (Los Angeles County)","White","239"
2018,"Imperial County CoC","Black, African American, or African","41"
2018,"Imperial County CoC","White","803"
2018,"San Luis Obispo County CoC","American Indian, Alaska Native, or Indigenous","52"
2018,"San Luis Obispo County CoC","Black, African American, or African","87"
2018,"San Luis Obispo County CoC","Multiple Races","95"
2018,"San Luis Obispo County CoC","Native Hawaiian or Pacific Islander","19"
2018,"San Luis Obispo County CoC","Unknown","122"
2018,"San Luis Obispo County CoC","White","1422"
2019,"California","American Indian, Alaska Native, or Indigenous","6621"
