"calendar_year","location","gender","experiencing_homelessness"
2017,"El Dorado County CoC","Female","67"
2017,"El Dorado County CoC","Male","66"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Female","224"
2017,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Male","158"
2017,"Tehama County CoC","Female","143"
2017,"Tehama County CoC","Male","252"
2017,"Lake County CoC","Female","32"
2017,"Lake County CoC","Male","19"
2017,"Alpine, Inyo, Mono Counties CoC","Female","79"
2017,"Alpine, Inyo, Mono Counties CoC","Male","82"
2017,"Nevada County CoC","Female","172"
2017,"Nevada County CoC","Male","290"
2017,"Los Angeles County CoC","Female","23157"
2017,"Los Angeles County CoC","Male","32153"
2017,"Los Angeles County CoC","Non-Singular Gender","46"
2017,"Los Angeles County CoC","Transgender","334"
2017,"Los Angeles County CoC","Unknown","899"
2017,"San Diego County CoC","Female","4507"
2017,"San Diego County CoC","Male","6989"
2017,"San Diego County CoC","Transgender","52"
2017,"San Diego County CoC","Unknown","27"
2017,"Orange County CoC","Female","4799"
2017,"Orange County CoC","Male","5494"
2017,"Orange County CoC","Transgender","15"
2017,"Orange County CoC","Unknown","159"
2017,"Santa Barbara County CoC","Female","1145"
2017,"Santa Barbara County CoC","Male","1675"
2017,"Kern County CoC","Female","2024"
2017,"Kern County CoC","Male","2589"
2017,"Long Beach CoC (Los Angeles County)","Female","1106"
2017,"Long Beach CoC (Los Angeles County)","Male","1511"
2017,"Pasadena CoC (Los Angeles County)","Female","589"
2017,"Pasadena CoC (Los Angeles County)","Male","692"
2017,"Pasadena CoC (Los Angeles County)","Unknown","104"
2017,"Riverside County CoC","Female","2748"
2017,"Riverside County CoC","Male","3855"
2017,"Riverside County CoC","Transgender","19"
2017,"Riverside County CoC","Unknown","21"
2017,"San Bernardino County CoC","Female","4215"
2017,"San Bernardino County CoC","Male","4169"
2017,"Ventura County CoC","Female","836"
2017,"Ventura County CoC","Male","1091"
2017,"Glendale CoC (Los Angeles County)","Female","182"
2017,"Glendale CoC (Los Angeles County)","Male","171"
2017,"Imperial County CoC","Female","102"
2017,"Imperial County CoC","Male","395"
2017,"San Luis Obispo County CoC","Female","750"
2017,"San Luis Obispo County CoC","Male","954"
2018,"California","Female","91953"
2018,"California","Male","119525"
2018,"California","Non-Singular Gender","224"
2018,"California","Transgender","938"
2018,"California","Unknown","1561"
2018,"Santa Clara County CoC","Female","4109"
2018,"Santa Clara County CoC","Male","6466"
2018,"Santa Clara County CoC","Non-Singular Gender","18"
2018,"Santa Clara County CoC","Transgender","48"
2018,"Santa Clara County CoC","Unknown","13"
2018,"San Francisco CoC","Female","2394"
2018,"San Francisco CoC","Male","2998"
2018,"San Francisco CoC","Non-Singular Gender","28"
2018,"San Francisco CoC","Transgender","69"
2018,"San Francisco CoC","Unknown","151"
2018,"Alameda County CoC","Female","2883"
2018,"Alameda County CoC","Male","3573"
2018,"Alameda County CoC","Transgender","25"
2018,"Sacramento County CoC","Female","5326"
2018,"Sacramento County CoC","Male","5498"
2018,"Sacramento County CoC","Non-Singular Gender","13"
2018,"Sacramento County CoC","Transgender","40"
2018,"Sonoma County CoC","Female","1391"
2018,"Sonoma County CoC","Male","1796"
2018,"Sonoma County CoC","Transgender","14"
2018,"Contra Costa County CoC","Female","2522"
2018,"Contra Costa County CoC","Male","3257"
2018,"Contra Costa County CoC","Transgender","11"
2018,"Monterey, San Benito Counties CoC","Female","1274"
2018,"Monterey, San Benito Counties CoC","Male","1235"
2018,"Marin County CoC","Female","547"
2018,"Marin County CoC","Male","776"
2018,"Santa Cruz County CoC","Female","740"
2018,"Santa Cruz County CoC","Male","1100"
2018,"Santa Cruz County CoC","Unknown","43"
2018,"Mendocino County CoC","Female","213"
2018,"Mendocino County CoC","Male","366"
2018,"Stanislaus County CoC","Female","2813"
2018,"Stanislaus County CoC","Male","3316"
2018,"San Joaquin County CoC","Female","5191"
2018,"San Joaquin County CoC","Male","5639"
2018,"San Joaquin County CoC","Transgender","11"
2018,"San Mateo County CoC","Female","1853"
2018,"San Mateo County CoC","Male","2403"
2018,"San Mateo County CoC","Transgender","11"
2018,"Kings, Tulare Counties CoC","Female","1417"
2018,"Kings, Tulare Counties CoC","Male","1548"
2018,"Fresno, Madera Counties CoC","Female","1103"
2018,"Fresno, Madera Counties CoC","Male","1294"
2018,"Fresno, Madera Counties CoC","Unknown","14"
2018,"Placer County CoC","Female","634"
2018,"Placer County CoC","Male","838"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Female","287"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Male","241"
2018,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","86"
2018,"Napa County CoC","Female","355"
2018,"Napa County CoC","Male","575"
2018,"Solano County CoC","Female","447"
2018,"Solano County CoC","Male","453"
2018,"Butte County CoC","Female","682"
2018,"Butte County CoC","Male","802"
2018,"Merced County CoC","Female","374"
2018,"Merced County CoC","Male","530"
2018,"Yolo County CoC","Female","457"
2018,"Yolo County CoC","Male","475"
2018,"Humboldt County CoC","Female","423"
2018,"Humboldt County CoC","Male","590"
2018,"Humboldt County CoC","Non-Singular Gender","11"
2018,"Humboldt County CoC","Unknown","17"
2018,"Colusa, Glenn, Trinity Counties CoC","Female","201"
2018,"Colusa, Glenn, Trinity Counties CoC","Male","148"
2018,"El Dorado County CoC","Female","128"
2018,"El Dorado County CoC","Male","114"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Female","236"
2018,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Male","176"
2018,"Tehama County CoC","Female","171"
2018,"Tehama County CoC","Male","245"
2018,"Lake County CoC","Female","46"
2018,"Lake County CoC","Male","45"
2018,"Alpine, Inyo, Mono Counties CoC","Female","126"
2018,"Alpine, Inyo, Mono Counties CoC","Male","93"
2018,"Nevada County CoC","Female","197"
2018,"Nevada County CoC","Male","346"
2018,"Los Angeles County CoC","Female","30979"
2018,"Los Angeles County CoC","Male","43300"
2018,"Los Angeles County CoC","Non-Singular Gender","76"
2018,"Los Angeles County CoC","Transgender","518"
2018,"Los Angeles County CoC","Unknown","861"
2018,"San Diego County CoC","Female","5804"
2018,"San Diego County CoC","Male","9184"
2018,"San Diego County CoC","Non-Singular Gender","18"
2018,"San Diego County CoC","Transgender","59"
2018,"San Diego County CoC","Unknown","141"
2018,"Orange County CoC","Female","5241"
2018,"Orange County CoC","Male","6715"
2018,"Orange County CoC","Transgender","22"
2018,"Orange County CoC","Unknown","36"
2018,"Santa Barbara County CoC","Female","991"
2018,"Santa Barbara County CoC","Male","1585"
2018,"Santa Barbara County CoC","Unknown","115"
2018,"Kern County CoC","Female","2111"
2018,"Kern County CoC","Male","2711"
2018,"Long Beach CoC (Los Angeles County)","Female","1095"
2018,"Long Beach CoC (Los Angeles County)","Male","1606"
2018,"Pasadena CoC (Los Angeles County)","Female","557"
2018,"Pasadena CoC (Los Angeles County)","Male","795"
2018,"Pasadena CoC (Los Angeles County)","Transgender","15"
2018,"Riverside County CoC","Female","3063"
2018,"Riverside County CoC","Male","4043"
2018,"Riverside County CoC","Transgender","25"
2018,"Riverside County CoC","Unknown","24"
2018,"San Bernardino County CoC","Female","3842"
2018,"San Bernardino County CoC","Male","3776"
2018,"Ventura County CoC","Female","819"
2018,"Ventura County CoC","Male","916"
2018,"Glendale CoC (Los Angeles County)","Female","209"
2018,"Glendale CoC (Los Angeles County)","Male","165"
2018,"Imperial County CoC","Female","308"
2018,"Imperial County CoC","Male","553"
2018,"San Luis Obispo County CoC","Female","831"
2018,"San Luis Obispo County CoC","Male","965"
2019,"California","Female","101343"
2019,"California","Male","135371"
2019,"California","Non-Singular Gender","336"
2019,"California","Transgender","1080"
2019,"California","Unknown","1459"
2019,"Santa Clara County CoC","Female","4587"
2019,"Santa Clara County CoC","Male","7283"
2019,"Santa Clara County CoC","Non-Singular Gender","20"
2019,"Santa Clara County CoC","Transgender","66"
2019,"Santa Clara County CoC","Unknown","13"
2019,"San Francisco CoC","Female","3363"
2019,"San Francisco CoC","Male","4398"
2019,"San Francisco CoC","Non-Singular Gender","45"
2019,"San Francisco CoC","Transgender","98"
2019,"San Francisco CoC","Unknown","93"
2019,"Alameda County CoC","Female","3247"
2019,"Alameda County CoC","Male","4253"
2019,"Alameda County CoC","Non-Singular Gender","13"
2019,"Alameda County CoC","Transgender","37"
2019,"Sacramento County CoC","Female","5313"
2019,"Sacramento County CoC","Male","5554"
2019,"Sacramento County CoC","Non-Singular Gender","28"
2019,"Sacramento County CoC","Transgender","44"
2019,"Sacramento County CoC","Unknown","16"
2019,"Sonoma County CoC","Female","1653"
2019,"Sonoma County CoC","Male","2088"
2019,"Sonoma County CoC","Transgender","18"
2019,"Sonoma County CoC","Unknown","11"
2019,"Contra Costa County CoC","Female","2546"
2019,"Contra Costa County CoC","Male","3542"
2019,"Contra Costa County CoC","Transgender","13"
2019,"Contra Costa County CoC","Unknown","15"
2019,"Monterey, San Benito Counties CoC","Female","1235"
2019,"Monterey, San Benito Counties CoC","Male","1150"
2019,"Marin County CoC","Female","529"
2019,"Marin County CoC","Male","681"
2019,"Santa Cruz County CoC","Female","857"
2019,"Santa Cruz County CoC","Male","1308"
2019,"Santa Cruz County CoC","Unknown","47"
2019,"Mendocino County CoC","Female","315"
2019,"Mendocino County CoC","Male","391"
2019,"Mendocino County CoC","Unknown","19"
2019,"Stanislaus County CoC","Female","2813"
2019,"Stanislaus County CoC","Male","3374"
2019,"San Joaquin County CoC","Female","5223"
2019,"San Joaquin County CoC","Male","5789"
2019,"San Joaquin County CoC","Transgender","11"
2019,"San Mateo County CoC","Female","1813"
2019,"San Mateo County CoC","Male","2514"
2019,"San Mateo County CoC","Transgender","11"
2019,"Kings, Tulare Counties CoC","Female","1749"
2019,"Kings, Tulare Counties CoC","Male","1691"
2019,"Fresno, Madera Counties CoC","Female","1216"
2019,"Fresno, Madera Counties CoC","Male","1438"
2019,"Fresno, Madera Counties CoC","Transgender","15"
2019,"Fresno, Madera Counties CoC","Unknown","11"
2019,"Placer County CoC","Female","744"
2019,"Placer County CoC","Male","921"
2019,"Placer County CoC","Unknown","11"
2019,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Female","369"
2019,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Male","325"
2019,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","163"
2019,"Napa County CoC","Female","372"
2019,"Napa County CoC","Male","555"
2019,"Solano County CoC","Female","573"
2019,"Solano County CoC","Male","584"
2019,"Butte County CoC","Female","758"
2019,"Butte County CoC","Male","987"
2019,"Merced County CoC","Female","1601"
2019,"Merced County CoC","Male","1520"
2019,"Yolo County CoC","Female","584"
2019,"Yolo County CoC","Male","595"
2019,"Humboldt County CoC","Female","541"
2019,"Humboldt County CoC","Male","886"
2019,"Humboldt County CoC","Transgender","12"
2019,"Humboldt County CoC","Unknown","149"
2019,"Colusa, Glenn, Trinity Counties CoC","Female","215"
2019,"Colusa, Glenn, Trinity Counties CoC","Male","168"
2019,"Yuba, Sutter Counties CoC","Female","15"
2019,"Yuba, Sutter Counties CoC","Male","12"
2019,"El Dorado County CoC","Female","103"
2019,"El Dorado County CoC","Male","113"
2019,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Female","216"
2019,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Male","170"
2019,"Tehama County CoC","Female","140"
2019,"Tehama County CoC","Male","234"
2019,"Lake County CoC","Female","136"
2019,"Lake County CoC","Male","113"
2019,"Alpine, Inyo, Mono Counties CoC","Female","80"
2019,"Alpine, Inyo, Mono Counties CoC","Male","74"
2019,"Nevada County CoC","Female","217"
2019,"Nevada County CoC","Male","393"
2019,"Los Angeles County CoC","Female","34484"
2019,"Los Angeles County CoC","Male","50325"
2019,"Los Angeles County CoC","Non-Singular Gender","109"
2019,"Los Angeles County CoC","Transgender","550"
2019,"Los Angeles County CoC","Unknown","685"
2019,"San Diego County CoC","Female","5907"
2019,"San Diego County CoC","Male","10025"
2019,"San Diego County CoC","Non-Singular Gender","27"
2019,"San Diego County CoC","Transgender","65"
2019,"San Diego County CoC","Unknown","142"
2019,"Orange County CoC","Female","5190"
2019,"Orange County CoC","Male","7146"
2019,"Orange County CoC","Transgender","34"
2019,"Orange County CoC","Unknown","14"
2019,"Santa Barbara County CoC","Female","1091"
2019,"Santa Barbara County CoC","Male","1689"
2019,"Kern County CoC","Female","2343"
2019,"Kern County CoC","Male","2772"
2019,"Long Beach CoC (Los Angeles County)","Female","1438"
2019,"Long Beach CoC (Los Angeles County)","Male","2509"
2019,"Pasadena CoC (Los Angeles County)","Female","427"
2019,"Pasadena CoC (Los Angeles County)","Male","666"
2019,"Pasadena CoC (Los Angeles County)","Transgender","12"
2019,"Riverside County CoC","Female","3569"
2019,"Riverside County CoC","Male","4398"
2019,"Riverside County CoC","Transgender","22"
2019,"San Bernardino County CoC","Female","4043"
2019,"San Bernardino County CoC","Male","3984"
2019,"Ventura County CoC","Female","950"
2019,"Ventura County CoC","Male","1093"
2019,"Glendale CoC (Los Angeles County)","Female","250"
2019,"Glendale CoC (Los Angeles County)","Male","192"
2019,"Imperial County CoC","Female","280"
2019,"Imperial County CoC","Male","547"
2019,"San Luis Obispo County CoC","Female","886"
2019,"San Luis Obispo County CoC","Male","1148"
2020,"California","Female","104887"
2020,"California","Male","145476"
2020,"California","Non-Singular Gender","427"
2020,"California","Questioning Gender","11"
2020,"California","Transgender","1245"
2020,"California","Unknown","2052"
2020,"Santa Clara County CoC","Female","5299"
2020,"Santa Clara County CoC","Male","8019"
2020,"Santa Clara County CoC","Non-Singular Gender","30"
2020,"Santa Clara County CoC","Transgender","59"
2020,"Santa Clara County CoC","Unknown","49"
2020,"San Francisco CoC","Female","4390"
2020,"San Francisco CoC","Male","6796"
2020,"San Francisco CoC","Non-Singular Gender","68"
2020,"San Francisco CoC","Transgender","154"
2020,"San Francisco CoC","Unknown","115"
2020,"Alameda County CoC","Female","3660"
2020,"Alameda County CoC","Male","5405"
2020,"Alameda County CoC","Non-Singular Gender","22"
2020,"Alameda County CoC","Transgender","37"
2020,"Sacramento County CoC","Female","4558"
2020,"Sacramento County CoC","Male","5202"
2020,"Sacramento County CoC","Non-Singular Gender","33"
2020,"Sacramento County CoC","Transgender","50"
2020,"Sacramento County CoC","Unknown","77"
2020,"Sonoma County CoC","Female","1518"
2020,"Sonoma County CoC","Male","2091"
2020,"Sonoma County CoC","Transgender","15"
2020,"Sonoma County CoC","Unknown","16"
2020,"Contra Costa County CoC","Female","2726"
2020,"Contra Costa County CoC","Male","3570"
2020,"Contra Costa County CoC","Transgender","16"
2020,"Contra Costa County CoC","Unknown","24"
2020,"Monterey, San Benito Counties CoC","Female","1049"
2020,"Monterey, San Benito Counties CoC","Male","1054"
2020,"Marin County CoC","Female","488"
2020,"Marin County CoC","Male","631"
2020,"Santa Cruz County CoC","Female","948"
2020,"Santa Cruz County CoC","Male","1419"
2020,"Santa Cruz County CoC","Unknown","16"
2020,"Mendocino County CoC","Female","451"
2020,"Mendocino County CoC","Male","514"
2020,"Stanislaus County CoC","Female","2195"
2020,"Stanislaus County CoC","Male","2598"
2020,"San Joaquin County CoC","Female","3541"
2020,"San Joaquin County CoC","Male","4165"
2020,"San Joaquin County CoC","Transgender","11"
2020,"San Mateo County CoC","Female","1758"
2020,"San Mateo County CoC","Male","2484"
2020,"San Mateo County CoC","Transgender","15"
2020,"Kings, Tulare Counties CoC","Female","1669"
2020,"Kings, Tulare Counties CoC","Male","1613"
2020,"Fresno, Madera Counties CoC","Female","1844"
2020,"Fresno, Madera Counties CoC","Male","2338"
2020,"Fresno, Madera Counties CoC","Transgender","17"
2020,"Placer County CoC","Female","762"
2020,"Placer County CoC","Male","957"
2020,"Placer County CoC","Unknown","13"
2020,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Female","629"
2020,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Male","655"
2020,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","185"
2020,"Napa County CoC","Female","511"
2020,"Napa County CoC","Male","853"
2020,"Solano County CoC","Female","603"
2020,"Solano County CoC","Male","806"
2020,"Butte County CoC","Female","815"
2020,"Butte County CoC","Male","1020"
2020,"Merced County CoC","Female","1385"
2020,"Merced County CoC","Male","1300"
2020,"Yolo County CoC","Female","706"
2020,"Yolo County CoC","Male","860"
2020,"Humboldt County CoC","Female","564"
2020,"Humboldt County CoC","Male","1005"
2020,"Humboldt County CoC","Unknown","183"
2020,"Colusa, Glenn, Trinity Counties CoC","Female","285"
2020,"Colusa, Glenn, Trinity Counties CoC","Male","227"
2020,"Yuba, Sutter Counties CoC","Female","398"
2020,"Yuba, Sutter Counties CoC","Male","313"
2020,"El Dorado County CoC","Female","121"
2020,"El Dorado County CoC","Male","150"
2020,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Female","184"
2020,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Male","139"
2020,"Tehama County CoC","Female","179"
2020,"Tehama County CoC","Male","269"
2020,"Lake County CoC","Female","101"
2020,"Lake County CoC","Male","116"
2020,"Alpine, Inyo, Mono Counties CoC","Female","98"
2020,"Alpine, Inyo, Mono Counties CoC","Male","122"
2020,"Nevada County CoC","Female","184"
2020,"Nevada County CoC","Male","359"
2020,"Los Angeles County CoC","Female","33761"
2020,"Los Angeles County CoC","Male","52701"
2020,"Los Angeles County CoC","Non-Singular Gender","136"
2020,"Los Angeles County CoC","Transgender","629"
2020,"Los Angeles County CoC","Unknown","955"
2020,"San Diego County CoC","Female","7646"
2020,"San Diego County CoC","Male","12411"
2020,"San Diego County CoC","Non-Singular Gender","42"
2020,"San Diego County CoC","Transgender","80"
2020,"San Diego County CoC","Unknown","309"
2020,"Orange County CoC","Female","5384"
2020,"Orange County CoC","Male","6838"
2020,"Orange County CoC","Non-Singular Gender","12"
2020,"Orange County CoC","Transgender","29"
2020,"Orange County CoC","Unknown","26"
2020,"Santa Barbara County CoC","Female","1147"
2020,"Santa Barbara County CoC","Male","1746"
2020,"Santa Barbara County CoC","Unknown","14"
2020,"Kern County CoC","Female","2830"
2020,"Kern County CoC","Male","2872"
2020,"Long Beach CoC (Los Angeles County)","Female","1559"
2020,"Long Beach CoC (Los Angeles County)","Male","2513"
2020,"Long Beach CoC (Los Angeles County)","Transgender","16"
2020,"Long Beach CoC (Los Angeles County)","Unknown","14"
2020,"Pasadena CoC (Los Angeles County)","Female","399"
2020,"Pasadena CoC (Los Angeles County)","Male","560"
2020,"Riverside County CoC","Female","4077"
2020,"Riverside County CoC","Male","5071"
2020,"Riverside County CoC","Transgender","25"
2020,"San Bernardino County CoC","Female","4607"
2020,"San Bernardino County CoC","Male","4708"
2020,"San Bernardino County CoC","Transgender","11"
2020,"Ventura County CoC","Female","983"
2020,"Ventura County CoC","Male","1240"
2020,"Glendale CoC (Los Angeles County)","Female","247"
2020,"Glendale CoC (Los Angeles County)","Male","249"
2020,"Imperial County CoC","Female","414"
2020,"Imperial County CoC","Male","587"
2020,"San Luis Obispo County CoC","Female","749"
2020,"San Luis Obispo County CoC","Male","937"
2021,"California","Female","111854"
2021,"California","Male","152937"
2021,"California","Non-Singular Gender","630"
2021,"California","Questioning Gender","25"
2021,"California","Transgender","1341"
2021,"California","Unknown","3564"
2021,"Santa Clara County CoC","Female","6082"
2021,"Santa Clara County CoC","Male","8642"
2021,"Santa Clara County CoC","Non-Singular Gender","40"
2021,"Santa Clara County CoC","Transgender","69"
2021,"Santa Clara County CoC","Unknown","66"
2021,"San Francisco CoC","Female","5293"
2021,"San Francisco CoC","Male","8231"
2021,"San Francisco CoC","Non-Singular Gender","94"
2021,"San Francisco CoC","Transgender","162"
2021,"San Francisco CoC","Unknown","116"
2021,"Alameda County CoC","Female","4202"
2021,"Alameda County CoC","Male","5791"
2021,"Alameda County CoC","Non-Singular Gender","31"
2021,"Alameda County CoC","Transgender","28"
2021,"Alameda County CoC","Unknown","66"
2021,"Sacramento County CoC","Female","4875"
2021,"Sacramento County CoC","Male","5258"
2021,"Sacramento County CoC","Non-Singular Gender","53"
2021,"Sacramento County CoC","Transgender","51"
2021,"Sacramento County CoC","Unknown","254"
2021,"Sonoma County CoC","Female","1442"
2021,"Sonoma County CoC","Male","1917"
2021,"Sonoma County CoC","Non-Singular Gender","15"
2021,"Sonoma County CoC","Transgender","20"
2021,"Contra Costa County CoC","Female","3134"
2021,"Contra Costa County CoC","Male","3964"
2021,"Contra Costa County CoC","Transgender","12"
2021,"Contra Costa County CoC","Unknown","19"
2021,"Monterey, San Benito Counties CoC","Female","1078"
2021,"Monterey, San Benito Counties CoC","Male","1236"
2021,"Marin County CoC","Female","720"
2021,"Marin County CoC","Male","939"
2021,"Marin County CoC","Unknown","98"
2021,"Santa Cruz County CoC","Female","969"
2021,"Santa Cruz County CoC","Male","1405"
2021,"Santa Cruz County CoC","Transgender","11"
2021,"Mendocino County CoC","Female","606"
2021,"Mendocino County CoC","Male","687"
2021,"Stanislaus County CoC","Female","2089"
2021,"Stanislaus County CoC","Male","2810"
2021,"Stanislaus County CoC","Non-Singular Gender","11"
2021,"Stanislaus County CoC","Transgender","13"
2021,"San Joaquin County CoC","Female","3136"
2021,"San Joaquin County CoC","Male","3580"
2021,"San Joaquin County CoC","Unknown","40"
2021,"San Mateo County CoC","Female","1805"
2021,"San Mateo County CoC","Male","2643"
2021,"San Mateo County CoC","Transgender","13"
2021,"Kings, Tulare Counties CoC","Female","1757"
2021,"Kings, Tulare Counties CoC","Male","1668"
2021,"Fresno, Madera Counties CoC","Female","2658"
2021,"Fresno, Madera Counties CoC","Male","3460"
2021,"Fresno, Madera Counties CoC","Transgender","32"
2021,"Fresno, Madera Counties CoC","Unknown","26"
2021,"Placer County CoC","Female","904"
2021,"Placer County CoC","Male","1104"
2021,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Female","872"
2021,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Male","896"
2021,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Unknown","41"
2021,"Napa County CoC","Female","307"
2021,"Napa County CoC","Male","438"
2021,"Solano County CoC","Female","645"
2021,"Solano County CoC","Male","917"
2021,"Butte County CoC","Female","926"
2021,"Butte County CoC","Male","1117"
2021,"Merced County CoC","Female","1061"
2021,"Merced County CoC","Male","1296"
2021,"Yolo County CoC","Female","688"
2021,"Yolo County CoC","Male","785"
2021,"Humboldt County CoC","Female","578"
2021,"Humboldt County CoC","Male","934"
2021,"Humboldt County CoC","Non-Singular Gender","21"
2021,"Humboldt County CoC","Unknown","101"
2021,"Colusa, Glenn, Trinity Counties CoC","Female","372"
2021,"Colusa, Glenn, Trinity Counties CoC","Male","309"
2021,"Yuba, Sutter Counties CoC","Female","1134"
2021,"Yuba, Sutter Counties CoC","Male","1027"
2021,"El Dorado County CoC","Female","157"
2021,"El Dorado County CoC","Male","188"
2021,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Female","205"
2021,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC","Male","162"
2021,"Tehama County CoC","Female","137"
2021,"Tehama County CoC","Male","149"
2021,"Lake County CoC","Female","166"
2021,"Lake County CoC","Male","233"
2021,"Alpine, Inyo, Mono Counties CoC","Female","110"
2021,"Alpine, Inyo, Mono Counties CoC","Male","116"
2021,"Nevada County CoC","Female","293"
2021,"Nevada County CoC","Male","395"
2021,"Nevada County CoC","Unknown","30"
2021,"Los Angeles County CoC","Female","32652"
2021,"Los Angeles County CoC","Male","51419"
2021,"Los Angeles County CoC","Non-Singular Gender","169"
2021,"Los Angeles County CoC","Transgender","604"
2021,"Los Angeles County CoC","Unknown","1068"
2021,"San Diego County CoC","Female","8991"
2021,"San Diego County CoC","Male","13470"
2021,"San Diego County CoC","Non-Singular Gender","51"
2021,"San Diego County CoC","Transgender","97"
2021,"San Diego County CoC","Unknown","111"
2021,"Orange County CoC","Female","6518"
2021,"Orange County CoC","Male","8733"
2021,"Orange County CoC","Non-Singular Gender","42"
2021,"Orange County CoC","Transgender","47"
2021,"Orange County CoC","Unknown","1354"
2021,"Santa Barbara County CoC","Female","1376"
2021,"Santa Barbara County CoC","Male","1918"
2021,"Santa Barbara County CoC","Non-Singular Gender","13"
2021,"Santa Barbara County CoC","Transgender","14"
2021,"Kern County CoC","Female","3816"
2021,"Kern County CoC","Male","3992"
2021,"Kern County CoC","Transgender","21"
2021,"Long Beach CoC (Los Angeles County)","Female","1253"
